entity,code,year,literacy_rate
Burkina Faso,BFA,2006,22.47
Burkina Faso,BFA,2007,27.88
Burkina Faso,BFA,2014,34.6
Burkina Faso,BFA,2018,39.35
Burkina Faso,BFA,2019,29.66
Burkina Faso,BFA,2021,36.97
Burkina Faso,BFA,2022,40.92
Burkina Faso,BFA,2023,41.567093
Burundi,BDI,1979,22.51
Burundi,BDI,1990,37.38
Burundi,BDI,2000,59.3
Burundi,BDI,2008,48.08
Burundi,BDI,2014,61.29
Burundi,BDI,2016,65.69
Burundi,BDI,2017,68.38
Burundi,BDI,2020,71.33748
Cambodia,KHM,1950,17.5
Cambodia,KHM,1998,67.34
Cambodia,KHM,2004,73.61
Cambodia,KHM,2008,76.87
Cambodia,KHM,2009,76.14
Cambodia,KHM,2013,79.65
Cambodia,KHM,2014,78.06
Cambodia,KHM,2015,80.53
Cambodia,KHM,2019,87.66
Cambodia,KHM,2020,82.55104
Cambodia,KHM,2021,71.93
Cameroon,CMR,1950,7.5
Cameroon,CMR,1976,41.22
Cameroon,CMR,2000,68.41
Cameroon,CMR,2007,70.68
Cameroon,CMR,2010,71.19
Cameroon,CMR,2018,72.55
Canada,CAN,1901,82.9
Canada,CAN,1911,89.0
Canada,CAN,1921,94.3
Canada,CAN,1931,95.7
Canada,CAN,1950,97.5
Cape Verde,CPV,1950,22.5
Cape Verde,CPV,1990,62.8
Cape Verde,CPV,2009,82.218956
Cape Verde,CPV,2012,85.33
Cape Verde,CPV,2015,86.79
Cape Verde,CPV,2024,88.47
Cayman Islands,CYM,2007,98.87
Cayman Islands,CYM,2017,98.87
Central African Republic,CAF,1950,3.0
Central African Republic,CAF,1975,18.24
Central African Republic,CAF,1988,33.62
Central African Republic,CAF,2000,50.65
Central African Republic,CAF,2019,42.44
Central and Southern Asia (SDG),,1975,38.64
Central and Southern Asia (SDG),,1976,38.7
Central and Southern Asia (SDG),,1977,39.37
Central and Southern Asia (SDG),,1978,40.04
Central and Southern Asia (SDG),,1979,40.69
Central and Southern Asia (SDG),,1980,41.32
Central and Southern Asia (SDG),,1981,41.92
Central and Southern Asia (SDG),,1982,42.59
Central and Southern Asia (SDG),,1983,43.31
Central and Southern Asia (SDG),,1984,43.97
Central and Southern Asia (SDG),,1985,44.62
Central and Southern Asia (SDG),,1986,45.29
Central and Southern Asia (SDG),,1987,45.95
Central and Southern Asia (SDG),,1988,46.65
Central and Southern Asia (SDG),,1989,47.41
Central and Southern Asia (SDG),,1990,48.39
Central and Southern Asia (SDG),,1991,49.09
Central and Southern Asia (SDG),,1992,50.02
Central and Southern Asia (SDG),,1993,50.95
Central and Southern Asia (SDG),,1994,51.66
Central and Southern Asia (SDG),,1995,52.5
Central and Southern Asia (SDG),,1996,53.3
Central and Southern Asia (SDG),,1997,54.09
Central and Southern Asia (SDG),,1998,58.56
Central and Southern Asia (SDG),,1999,59.33
Central and Southern Asia (SDG),,2000,60.1
Central and Southern Asia (SDG),,2001,60.9
Central and Southern Asia (SDG),,2002,61.71
Central and Southern Asia (SDG),,2003,62.61
Central and Southern Asia (SDG),,2004,63.39
Central and Southern Asia (SDG),,2005,63.29
Central and Southern Asia (SDG),,2006,63.41
Central and Southern Asia (SDG),,2007,64.22
Central and Southern Asia (SDG),,2008,65.25
Central and Southern Asia (SDG),,2009,66.07
Central and Southern Asia (SDG),,2010,68.44
Central and Southern Asia (SDG),,2011,68.79
Central and Southern Asia (SDG),,2012,68.87
Central and Southern Asia (SDG),,2013,69.82
Central and Southern Asia (SDG),,2014,70.52
Central and Southern Asia (SDG),,2015,71.76
Central and Southern Asia (SDG),,2016,72.99
Central and Southern Asia (SDG),,2017,73.52
Central and Southern Asia (SDG),,2018,74.02
Central and Southern Asia (SDG),,2019,73.87
Central and Southern Asia (SDG),,2020,74.55
Central and Southern Asia (SDG),,2021,75.3
Central and Southern Asia (SDG),,2022,76.08
Central and Southern Asia (SDG),,2023,76.74
Central and Southern Asia (SDG),,2024,77.38
Chad,TCD,1993,10.89
Chad,TCD,2000,25.65
Chad,TCD,2004,28.38
Chad,TCD,2016,22.31
Chad,TCD,2019,30.63
Channel Islands,OWID_CIS,1950,98.5
Chile,CHL,1907,50.1
Chile,CHL,1920,63.1
Chile,CHL,1930,75.6
Chile,CHL,1940,73.6
Chile,CHL,1950,77.5
Chile,CHL,1982,91.13
Chile,CHL,1992,94.29
Chile,CHL,2002,95.72
Chile,CHL,2011,96.7
Chile,CHL,2013,96.27
Chile,CHL,2015,96.87
Chile,CHL,2017,96.4
China,CHN,1950,47.5
China,CHN,1982,65.51
China,CHN,1990,77.79
China,CHN,2000,90.92
China,CHN,2010,95.12
China,CHN,2020,96.74
Cocos Islands,CCK,1950,17.5
Colombia,COL,1918,42.4
Colombia,COL,1928,51.6
Colombia,COL,1938,55.8
Colombia,COL,1950,52.5
Colombia,COL,1993,91.06
Colombia,COL,1996,91.21
Colombia,COL,2004,92.8
Colombia,COL,2005,92.85
Colombia,COL,2006,92.3
Colombia,COL,2007,92.65
Colombia,COL,2008,93.38
Colombia,COL,2009,93.24
Colombia,COL,2010,93.37
Colombia,COL,2011,93.58
Colombia,COL,2014,94.19
Colombia,COL,2015,94.25
Colombia,COL,2016,94.65
Colombia,COL,2017,94.88739
Colombia,COL,2018,95.09
Colombia,COL,2019,95.25
Colombia,COL,2020,95.64
Colombia,COL,2021,95.66065
Colombia,COL,2022,95.31031
Colombia,COL,2023,95.45663
Colombia,COL,2024,95.34
Comoros,COM,1950,22.5
Comoros,COM,1980,47.92
Comoros,COM,2000,68.25
Comoros,COM,2014,73.6495
Comoros,COM,2021,75.6202
Congo,COG,1984,59.62
Congo,COG,2005,76.11
Cook Islands,COK,1950,92.5
Costa Rica,CRI,1950,77.5
Costa Rica,CRI,1984,92.63
Costa Rica,CRI,2000,94.87
Costa Rica,CRI,2011,97.41
Cote d'Ivoire,CIV,1988,34.14
Cote d'Ivoire,CIV,1998,36.35
Cote d'Ivoire,CIV,2000,48.74
Cote d'Ivoire,CIV,2014,43.91
Cote d'Ivoire,CIV,2016,50.04
Cote d'Ivoire,CIV,2021,50.0
Croatia,HRV,1991,96.7
Croatia,HRV,2001,98.15
Cuba,CUB,1899,43.1
Cuba,CUB,1907,56.4
Cuba,CUB,1919,61.3
Cuba,CUB,1931,71.8
Cuba,CUB,1943,76.4
Cuba,CUB,1950,77.5
Cuba,CUB,1981,97.85
Cuba,CUB,2002,99.8
Cuba,CUB,2012,99.67
Cuba,CUB,2019,97.65
Cyprus,CYP,1950,62.5
Cyprus,CYP,1992,94.36
Cyprus,CYP,2001,96.8
Cyprus,CYP,2011,98.68
Czechoslovakia,OWID_CZS,1950,97.5
Democratic Republic of Congo,COD,1950,37.5
Democratic Republic of Congo,COD,2001,67.17
Democratic Republic of Congo,COD,2012,75.02
Democratic Republic of Congo,COD,2016,77.04
Democratic Republic of Congo,COD,2018,73.55
Democratic Republic of Congo,COD,2020,65.68288
Democratic Republic of Congo,COD,2023,68.5
Denmark,DNK,1950,98.5
Djibouti,DJI,1950,3.0
Dominican Republic,DOM,1950,42.5
Dominican Republic,DOM,1981,73.06
Dominican Republic,DOM,2002,87.0
Dominican Republic,DOM,2007,88.24
Dominican Republic,DOM,2010,89.54
Dominican Republic,DOM,2011,90.11
Dominican Republic,DOM,2012,90.16
Dominican Republic,DOM,2013,90.86
Dominican Republic,DOM,2014,91.76
Dominican Republic,DOM,2015,91.99
Dominican Republic,DOM,2016,93.78
Dominican Republic,DOM,2017,93.233215
Dominican Republic,DOM,2018,93.43606
Dominican Republic,DOM,2019,93.67269
Dominican Republic,DOM,2020,93.692635
Dominican Republic,DOM,2021,93.73097
Dominican Republic,DOM,2022,93.70224
Dominican Republic,DOM,2023,94.31238
Dominican Republic,DOM,2024,94.03
East Asia and Pacific (WB),WB_EAP,1976,65.99
East Asia and Pacific (WB),WB_EAP,1977,66.2
East Asia and Pacific (WB),WB_EAP,1978,67.29
East Asia and Pacific (WB),WB_EAP,1979,68.52
East Asia and Pacific (WB),WB_EAP,1980,69.61
East Asia and Pacific (WB),WB_EAP,1981,70.64
East Asia and Pacific (WB),WB_EAP,1982,71.61
East Asia and Pacific (WB),WB_EAP,1983,72.53
East Asia and Pacific (WB),WB_EAP,1984,73.51
East Asia and Pacific (WB),WB_EAP,1985,74.43
East Asia and Pacific (WB),WB_EAP,1986,75.26
East Asia and Pacific (WB),WB_EAP,1987,76.41
East Asia and Pacific (WB),WB_EAP,1988,80.14
East Asia and Pacific (WB),WB_EAP,1989,80.76
East Asia and Pacific (WB),WB_EAP,1990,81.33
East Asia and Pacific (WB),WB_EAP,1991,81.84
East Asia and Pacific (WB),WB_EAP,1992,82.33
East Asia and Pacific (WB),WB_EAP,1993,82.77
East Asia and Pacific (WB),WB_EAP,1994,83.3
East Asia and Pacific (WB),WB_EAP,1995,83.84
East Asia and Pacific (WB),WB_EAP,1996,84.3
East Asia and Pacific (WB),WB_EAP,1997,89.27
East Asia and Pacific (WB),WB_EAP,1998,89.63
East Asia and Pacific (WB),WB_EAP,1999,89.95
East Asia and Pacific (WB),WB_EAP,2000,90.31
East Asia and Pacific (WB),WB_EAP,2001,90.63
East Asia and Pacific (WB),WB_EAP,2002,90.98
East Asia and Pacific (WB),WB_EAP,2003,91.35
East Asia and Pacific (WB),WB_EAP,2004,91.68
East Asia and Pacific (WB),WB_EAP,2005,92.02
East Asia and Pacific (WB),WB_EAP,2006,92.37
East Asia and Pacific (WB),WB_EAP,2007,93.51
East Asia and Pacific (WB),WB_EAP,2008,93.82
East Asia and Pacific (WB),WB_EAP,2009,94.09
East Asia and Pacific (WB),WB_EAP,2010,94.08
East Asia and Pacific (WB),WB_EAP,2011,94.3
East Asia and Pacific (WB),WB_EAP,2012,94.54
East Asia and Pacific (WB),WB_EAP,2013,94.62
East Asia and Pacific (WB),WB_EAP,2014,95.09
East Asia and Pacific (WB),WB_EAP,2015,95.3
East Asia and Pacific (WB),WB_EAP,2016,95.5
East Asia and Pacific (WB),WB_EAP,2017,95.69
East Asia and Pacific (WB),WB_EAP,2018,95.73
East Asia and Pacific (WB),WB_EAP,2019,95.87
East Asia and Pacific (WB),WB_EAP,2020,96.09
East Asia and Pacific (WB),WB_EAP,2021,96.22
East Asia and Pacific (WB),WB_EAP,2022,96.36
East Asia and Pacific (WB),WB_EAP,2023,96.49
East Asia and Pacific (WB),WB_EAP,2024,96.61
East Timor,TLS,1950,3.0
East Timor,TLS,2001,37.6
East Timor,TLS,2007,50.6
East Timor,TLS,2010,58.31
East Timor,TLS,2015,64.45
East Timor,TLS,2016,65.78
East Timor,TLS,2022,69.4
Eastern and South-Eastern Asia (SDG),,1976,65.78
Eastern and South-Eastern Asia (SDG),,1977,65.99
Eastern and South-Eastern Asia (SDG),,1978,67.09
Eastern and South-Eastern Asia (SDG),,1979,68.34
Eastern and South-Eastern Asia (SDG),,1980,69.45
Eastern and South-Eastern Asia (SDG),,1981,70.5
Eastern and South-Eastern Asia (SDG),,1982,71.47
Eastern and South-Eastern Asia (SDG),,1983,72.41
Eastern and South-Eastern Asia (SDG),,1984,73.4
Eastern and South-Eastern Asia (SDG),,1985,74.34
Eastern and South-Eastern Asia (SDG),,1986,75.17
Eastern and South-Eastern Asia (SDG),,1987,76.34
Eastern and South-Eastern Asia (SDG),,1988,80.13
Eastern and South-Eastern Asia (SDG),,1989,80.76
Eastern and South-Eastern Asia (SDG),,1990,81.34
Eastern and South-Eastern Asia (SDG),,1991,81.86
Eastern and South-Eastern Asia (SDG),,1992,82.35
Eastern and South-Eastern Asia (SDG),,1993,82.8
Eastern and South-Eastern Asia (SDG),,1994,83.35
Eastern and South-Eastern Asia (SDG),,1995,83.89
Eastern and South-Eastern Asia (SDG),,1996,84.35
Eastern and South-Eastern Asia (SDG),,1997,89.4
Eastern and South-Eastern Asia (SDG),,1998,89.75
Eastern and South-Eastern Asia (SDG),,1999,90.08
Eastern and South-Eastern Asia (SDG),,2000,90.44
Eastern and South-Eastern Asia (SDG),,2001,90.76
Eastern and South-Eastern Asia (SDG),,2002,91.12
Eastern and South-Eastern Asia (SDG),,2003,91.49
Eastern and South-Eastern Asia (SDG),,2004,91.83
Eastern and South-Eastern Asia (SDG),,2005,92.17
Eastern and South-Eastern Asia (SDG),,2006,92.52
Eastern and South-Eastern Asia (SDG),,2007,93.68
Eastern and South-Eastern Asia (SDG),,2008,93.99
Eastern and South-Eastern Asia (SDG),,2009,94.26
Eastern and South-Eastern Asia (SDG),,2010,94.25
Eastern and South-Eastern Asia (SDG),,2011,94.48
Eastern and South-Eastern Asia (SDG),,2012,94.72
Eastern and South-Eastern Asia (SDG),,2013,94.8
Eastern and South-Eastern Asia (SDG),,2014,95.29
Eastern and South-Eastern Asia (SDG),,2015,95.51
Eastern and South-Eastern Asia (SDG),,2016,95.71
Eastern and South-Eastern Asia (SDG),,2017,95.91
Eastern and South-Eastern Asia (SDG),,2018,95.96
Eastern and South-Eastern Asia (SDG),,2019,96.1
Eastern and South-Eastern Asia (SDG),,2020,96.33
Eastern and South-Eastern Asia (SDG),,2021,96.47
Eastern and South-Eastern Asia (SDG),,2022,96.61
Eastern and South-Eastern Asia (SDG),,2023,96.74
Eastern and South-Eastern Asia (SDG),,2024,96.87
Ecuador,ECU,1950,57.5
Ecuador,ECU,1982,83.55
Ecuador,ECU,1990,88.3
Ecuador,ECU,2001,90.98
Ecuador,ECU,2007,92.1
Ecuador,ECU,2008,92.39
Ecuador,ECU,2009,92.25
Ecuador,ECU,2010,91.85
Ecuador,ECU,2011,91.59
Ecuador,ECU,2012,92.06
Ecuador,ECU,2013,93.29
Ecuador,ECU,2014,94.22
Ecuador,ECU,2015,94.46
Ecuador,ECU,2016,94.35
Ecuador,ECU,2017,92.83
Ecuador,ECU,2020,93.63
Ecuador,ECU,2021,94.48
Ecuador,ECU,2022,96.26
Ecuador,ECU,2024,93.49
Egypt,EGY,1907,7.3
Egypt,EGY,1917,8.8
Egypt,EGY,1927,14.1
Egypt,EGY,1937,14.8
Egypt,EGY,1950,22.5
Egypt,EGY,1976,38.2
Egypt,EGY,1986,44.42
Egypt,EGY,1996,55.59
Egypt,EGY,2005,67.33
Egypt,EGY,2006,66.37
Egypt,EGY,2010,72.05
Egypt,EGY,2012,73.87
Egypt,EGY,2013,72.44
Egypt,EGY,2017,71.17
Egypt,EGY,2021,82.08038
Egypt,EGY,2022,79.45316
El Salvador,SLV,1950,37.5
El Salvador,SLV,1992,74.14
El Salvador,SLV,2006,83.56
El Salvador,SLV,2007,82.03
El Salvador,SLV,2008,83.95
El Salvador,SLV,2009,84.1
El Salvador,SLV,2010,84.49
El Salvador,SLV,2011,85.49
El Salvador,SLV,2012,85.462456
El Salvador,SLV,2013,86.77
El Salvador,SLV,2014,87.41254
El Salvador,SLV,2015,87.97
El Salvador,SLV,2016,88.14
El Salvador,SLV,2017,88.48
El Salvador,SLV,2018,89.01
El Salvador,SLV,2019,89.14
El Salvador,SLV,2020,89.98
El Salvador,SLV,2021,89.05865
El Salvador,SLV,2022,89.353714
El Salvador,SLV,2023,89.85
El Salvador,SLV,2024,89.77
Equatorial Guinea,GNQ,1950,22.5
Equatorial Guinea,GNQ,2000,88.31
Eritrea,ERI,1950,3.0
Eritrea,ERI,2002,52.51
Eritrea,ERI,2008,64.66
Estonia,EST,1989,99.73
Estonia,EST,2000,99.77
Estonia,EST,2011,99.89
Eswatini,SWZ,1950,17.5
Eswatini,SWZ,1976,55.33
Eswatini,SWZ,1986,67.24
Eswatini,SWZ,2000,81.66
Eswatini,SWZ,2022,90.75
Ethiopia,ETH,1950,3.0
Ethiopia,ETH,1994,27.01
Ethiopia,ETH,2004,35.9
Ethiopia,ETH,2007,39.0
Ethiopia,ETH,2013,48.354973
Ethiopia,ETH,2016,47.49
Ethiopia,ETH,2019,55.05
Ethiopia,ETH,2021,54.88537
Ethiopia,ETH,2022,60.46
Europe and Central Asia (WB),WB_ECA,1994,95.8
Europe and Central Asia (WB),WB_ECA,1995,95.95
Europe and Central Asia (WB),WB_ECA,1996,96.13
Europe and Central Asia (WB),WB_ECA,1997,96.26
Europe and Central Asia (WB),WB_ECA,1998,96.42
Europe and Central Asia (WB),WB_ECA,1999,96.54
Europe and Central Asia (WB),WB_ECA,2000,96.64
Europe and Central Asia (WB),WB_ECA,2002,96.9
Europe and Central Asia (WB),WB_ECA,2003,96.99
Europe and Central Asia (WB),WB_ECA,2004,97.07
Europe and Central Asia (WB),WB_ECA,2005,97.19
Europe and Central Asia (WB),WB_ECA,2006,97.25
Europe and Central Asia (WB),WB_ECA,2007,97.33
Europe and Central Asia (WB),WB_ECA,2008,97.45
Europe and Central Asia (WB),WB_ECA,2009,97.71
Europe and Central Asia (WB),WB_ECA,2010,97.87
Europe and Central Asia (WB),WB_ECA,2011,98.02
Europe and Central Asia (WB),WB_ECA,2012,98.12
Europe and Central Asia (WB),WB_ECA,2013,98.18
Europe and Central Asia (WB),WB_ECA,2014,98.22
Europe and Central Asia (WB),WB_ECA,2015,98.27
Europe and Central Asia (WB),WB_ECA,2016,98.33
Europe and Central Asia (WB),WB_ECA,2017,98.41
Europe and Central Asia (WB),WB_ECA,2018,98.5
Europe and Central Asia (WB),WB_ECA,2019,98.57
Europe and Central Asia (WB),WB_ECA,2020,98.61
Europe and Central Asia (WB),WB_ECA,2021,98.74
Europe and Central Asia (WB),WB_ECA,2022,98.75
Europe and Central Asia (WB),WB_ECA,2023,98.77
Europe and Northern America (SDG),,2003,97.91
Europe and Northern America (SDG),,2004,97.97
Europe and Northern America (SDG),,2005,98.02
Europe and Northern America (SDG),,2006,98.09
Europe and Northern America (SDG),,2018,98.62
Europe and Northern America (SDG),,2019,98.65
Europe and Northern America (SDG),,2020,98.67
Europe and Northern America (SDG),,2021,98.78
Europe and Northern America (SDG),,2022,98.78
Falkland Islands,FLK,1950,92.5
Faroe Islands,FRO,1950,98.5
Fiji,FJI,1950,67.5
Finland,FIN,1900,38.8
Finland,FIN,1910,55.3
Finland,FIN,1920,69.9
Finland,FIN,1930,84.1
Finland,FIN,1950,98.5
France,FRA,1475,6.0
France,FRA,1550,19.0
France,FRA,1650,29.0
France,FRA,1750,29.0
France,FRA,1901,83.5
France,FRA,1906,85.9
France,FRA,1911,88.1
France,FRA,1921,91.8
France,FRA,1926,93.9
France,FRA,1931,94.7
France,FRA,1936,96.0
France,FRA,1946,96.6
France,FRA,1950,96.5
French Guiana,GUF,1950,67.5
French Guiana,GUF,1982,82.92
French Polynesia,PYF,1950,32.5
Gabon,GAB,1993,72.23
Gabon,GAB,2021,88.86
Gambia,GMB,1950,7.5
Gambia,GMB,2000,36.82
Gambia,GMB,2015,50.78
Gambia,GMB,2018,53.16
Gambia,GMB,2021,51.64
Georgia,GEO,2002,99.65
Georgia,GEO,2014,99.59
Georgia,GEO,2017,99.36
Georgia,GEO,2018,99.65
Georgia,GEO,2019,99.87572
Georgia,GEO,2020,99.89307
Georgia,GEO,2021,99.91808
Georgia,GEO,2022,99.57
Georgia,GEO,2023,99.56
Georgia,GEO,2024,99.68
Germany,DEU,1475,9.0
Germany,DEU,1550,16.0
Germany,DEU,1650,31.0
Germany,DEU,1750,38.0
Germany,DEU,1950,98.5
Ghana,GHA,1950,22.5
Ghana,GHA,2000,57.9
Ghana,GHA,2010,71.5
Ghana,GHA,2015,60.198105
Ghana,GHA,2017,64.49
Ghana,GHA,2021,76.49
Gibraltar,GIB,1950,67.5
Greece,GRC,1907,39.5
Greece,GRC,1920,48.0
Greece,GRC,1928,58.1
Greece,GRC,1950,72.5
Greece,GRC,1981,90.51
Greece,GRC,1991,92.61
Greece,GRC,2001,95.99
Greece,GRC,2009,93.91
Greenland,GRL,1950,98.5
Grenada,GRD,1950,67.5
Grenada,GRD,1970,97.79
Guadeloupe,GLP,1950,67.5
Guadeloupe,GLP,1982,90.1
Guam,GUM,1950,87.5
Guam,GUM,1980,96.42
Guam,GUM,1990,99.37
Guatemala,GTM,1950,27.5
Guatemala,GTM,1994,64.21
Guatemala,GTM,2002,69.1
Guatemala,GTM,2012,78.26
Guatemala,GTM,2013,77.04
Guatemala,GTM,2014,81.29
Guatemala,GTM,2015,80.2
Guatemala,GTM,2018,80.81
Guatemala,GTM,2022,83.03
Guatemala,GTM,2023,83.01958
Guatemala,GTM,2024,82.11
Guinea,GIN,1996,20.55
Guinea,GIN,2003,29.7
Guinea,GIN,2010,25.31
Guinea,GIN,2014,32.0
Guinea,GIN,2018,39.62
Guinea-Bissau,GNB,1950,3.0
Guinea-Bissau,GNB,1979,19.96
Guinea-Bissau,GNB,2000,41.36
Guinea-Bissau,GNB,2019,54.88
Guinea-Bissau,GNB,2022,63.93
Guyana,GUY,1950,77.5
Guyana,GUY,2020,85.64
Haiti,HTI,1950,12.5
Haiti,HTI,1982,34.73
Haiti,HTI,2003,58.74
Haiti,HTI,2012,73.95334
Haiti,HTI,2017,68.01
High-income countries,OWID_HIC,2020,97.71
Honduras,HND,1926,26.1
Honduras,HND,1930,33.4
Honduras,HND,1935,32.6
Honduras,HND,1940,34.7
Honduras,HND,1945,36.3
Honduras,HND,1950,37.5
Honduras,HND,2001,80.01
Honduras,HND,2007,83.59
Honduras,HND,2010,84.76
Honduras,HND,2011,85.12
Honduras,HND,2012,85.36
Honduras,HND,2013,85.46
Honduras,HND,2014,87.2
Honduras,HND,2015,87.91
Honduras,HND,2016,88.99
Honduras,HND,2018,87.21
Honduras,HND,2019,88.51
Honduras,HND,2022,88.21928
Honduras,HND,2023,87.09
Honduras,HND,2024,88.25
